dates,prices
2017-07-14,59.905
2017-07-17,60.21
2017-07-18,60.25
2017-07-19,60.5
2017-07-20,60.9
2017-07-21,60.825
2017-07-24,60.465
2017-07-25,60.715
2017-07-26,60.64
2017-07-27,60.665
2017-07-28,60.225
2017-07-31,60.08
2017-08-01,60.105
2017-08-02,59.97
2017-08-03,60.44
2017-08-04,60.915
2017-08-07,61.04
2017-08-08,61.515
2017-08-09,60.8
2017-08-10,60.445
2017-08-11,60.17
2017-08-14,60.78
2017-08-15,61.24
2017-08-16,61.495
2017-08-17,61.115
2017-08-18,60.905
2017-08-21,60.585
2017-08-22,61.325
2017-08-23,61.575
2017-08-24,61.51
2017-08-25,61.335
2017-08-29,60.885
2017-08-30,61.1
2017-08-31,61.63
2017-09-01,61.47
2017-09-04,61.315
2017-09-05,60.945
2017-09-06,60.8
2017-09-07,60.835
2017-09-08,60.465
2017-09-11,60.99
2017-09-12,60.76
2017-09-13,60.925
2017-09-14,60.15
2017-09-15,59.355
2017-09-18,59.89
2017-09-19,59.91
2017-09-20,59.86
2017-09-21,59.5
2017-09-22,59.53
2017-09-25,59.45
2017-09-26,59.485
2017-09-27,59.635
2017-09-28,59.575
2017-09-29,60.07
2017-10-02,60.82
2017-10-03,61.11
2017-10-04,61.1
2017-10-05,62.005
2017-10-06,62.255
2017-10-09,61.93
2017-10-10,61.68
2017-10-11,61.88
2017-10-12,62.13
2017-10-13,61.73
2017-10-16,61.89
2017-10-17,62.205
2017-10-18,62.275
2017-10-19,62.055
2017-10-20,62.22
2017-10-23,62.325
2017-10-24,62.54
2017-10-25,61.465
2017-10-26,62.13
2017-10-27,62.57
2017-10-30,62.09
2017-10-31,62.03
2017-11-01,62.32
2017-11-02,63.2
2017-11-03,63.18
2017-11-06,63.075
2017-11-07,62.955
2017-11-08,63.185
2017-11-09,62.795
2017-11-10,62.29
2017-11-13,62.71
2017-11-14,62.5
2017-11-15,62.145
2017-11-16,62.41
2017-11-17,62.3
2017-11-20,62.24
2017-11-21,62.78
2017-11-22,62.525
2017-11-23,62.55
2017-11-24,62.555
2017-11-27,62.39
2017-11-28,63.075
2017-11-29,62.22
2017-11-30,62.105
2017-12-01,61.555
2017-12-04,62.325
2017-12-05,62.305
2017-12-06,62.095
2017-12-07,62.075
2017-12-08,62.51
2017-12-11,62.84
2017-12-12,63.13
2017-12-13,63.12
2017-12-14,62.7
2017-12-15,63.235
2017-12-18,63.495
2017-12-19,63.585
2017-12-20,63.185
2017-12-21,63.4
2017-12-22,63.31
2017-12-27,63.375
2017-12-28,63.205
2017-12-29,63.23
2018-01-02,62.91
2018-01-03,63.675
2018-01-04,64.045
2018-01-05,64.235
2018-01-08,64.295
2018-01-09,64.77
2018-01-10,64.565
2018-01-11,64.635
2018-01-12,64.55
2018-01-15,64.315
2018-01-16,64.545
2018-01-17,64.22
2018-01-18,63.94
2018-01-19,64.445
2018-01-22,64.185
2018-01-23,64.575
2018-01-24,63.655
2018-01-25,63.45
2018-01-26,64.165
2018-01-29,64.545
2018-01-30,63.575
2018-01-31,63.16
2018-02-01,62.905
2018-02-02,62.665
2018-02-05,62.27
2018-02-06,60.38
2018-02-07,61.89
2018-02-08,60.135
2018-02-09,59.525
2018-02-12,60.715
2018-02-13,60.43
2018-02-14,60.9
2018-02-15,61.24
2018-02-16,62.02
2018-02-19,61.91
2018-02-20,61.87
2018-02-21,62.19
2018-02-22,62.115
2018-02-23,61.945
2018-02-26,62.785
2018-02-27,62.83
2018-02-28,62.77
2018-03-01,62.2
2018-03-02,61.18
2018-03-05,61.605
2018-03-06,61.825
2018-03-07,61.66
2018-03-08,62.33
2018-03-09,62.75
2018-03-12,63.01
2018-03-13,62.355
2018-03-14,62.14
2018-03-15,62.295
2018-03-16,62.27
2018-03-19,60.96
2018-03-20,61.37
2018-03-21,61.24
2018-03-22,59.93
2018-03-23,58.955
2018-03-26,58.225
2018-03-27,59.535
2018-03-28,58.81
2018-03-29,59.69
