dates,prices
2017-07-14,43.64
2017-07-17,43.68
2017-07-18,43.87
2017-07-19,44.2
2017-07-20,44.36
2017-07-21,44.34
2017-07-24,44.195
2017-07-25,44.215
2017-07-26,44.15
2017-07-27,44.385
2017-07-28,43.995
2017-07-31,43.86
2017-08-01,43.99
2017-08-02,43.905
2017-08-03,44.2
2017-08-04,44.64
2017-08-07,44.975
2017-08-08,45.505
2017-08-09,44.76
2017-08-10,44.31
2017-08-11,44.12
2017-08-14,44.58
2017-08-15,44.77
2017-08-16,45.225
2017-08-17,45.08
2017-08-18,45.12
2017-08-21,45.07
2017-08-22,45.68
2017-08-23,45.96
2017-08-24,46.095
2017-08-25,46.195
2017-08-29,45.835
2017-08-30,45.895
2017-08-31,46.185
2017-09-01,46.18
2017-09-04,45.975
2017-09-05,45.755
2017-09-06,45.71
2017-09-07,45.88
2017-09-08,45.375
2017-09-11,45.865
2017-09-12,45.64
2017-09-13,45.445
2017-09-14,44.92
2017-09-15,44.33
2017-09-18,44.89
2017-09-19,44.7
2017-09-20,44.685
2017-09-21,44.045
2017-09-22,43.875
2017-09-25,43.285
2017-09-26,43.33
2017-09-27,43.085
2017-09-28,42.91
2017-09-29,43.5
2017-10-02,44.11
2017-10-03,44.77
2017-10-04,44.9
2017-10-05,45.63
2017-10-06,45.61
2017-10-09,45.105
2017-10-10,45.215
2017-10-11,45.365
2017-10-12,45.66
2017-10-13,45.63
2017-10-16,45.71
2017-10-17,45.69
2017-10-18,45.685
2017-10-19,45.2
2017-10-20,45.43
2017-10-23,45.155
2017-10-24,45.395
2017-10-25,44.73
2017-10-26,45.125
2017-10-27,45.4
2017-10-30,44.935
2017-10-31,44.86
2017-11-01,45.255
2017-11-02,45.83
2017-11-03,45.58
2017-11-06,45.75
2017-11-07,45.625
2017-11-08,45.785
2017-11-09,45.59
2017-11-10,45.085
2017-11-13,45.3
2017-11-14,45.06
2017-11-15,44.67
2017-11-16,45.135
2017-11-17,45.4
2017-11-20,45.465
2017-11-21,46.295
2017-11-22,45.995
2017-11-23,45.82
2017-11-24,45.835
2017-11-27,45.41
2017-11-28,45.975
2017-11-29,44.73
2017-11-30,44.225
2017-12-01,43.67
2017-12-04,44.18
2017-12-05,44.34
2017-12-06,43.535
2017-12-07,43.685
2017-12-08,44.185
2017-12-11,44.65
2017-12-12,44.325
2017-12-13,44.715
2017-12-14,44.54
2017-12-15,45.01
2017-12-18,45.17
2017-12-19,45.15
2017-12-20,45.1
2017-12-21,45.49
2017-12-22,45.53
2017-12-27,45.81
2017-12-28,45.845
2017-12-29,45.89
2018-01-02,46.29
2018-01-03,47.05
2018-01-04,47.345
2018-01-05,47.525
2018-01-08,47.535
2018-01-09,47.685
2018-01-10,47.4
2018-01-11,47.42
2018-01-12,47.65
2018-01-15,47.1
2018-01-16,47.545
2018-01-17,47.585
2018-01-18,47.485
2018-01-19,48.0
2018-01-22,48.055
2018-01-23,48.41
2018-01-24,47.84
2018-01-25,47.9
2018-01-26,48.57
2018-01-29,48.475
2018-01-30,47.33
2018-01-31,47.475
2018-02-01,46.985
2018-02-02,46.59
2018-02-05,46.6
2018-02-06,45.61
2018-02-07,46.34
2018-02-08,44.59
2018-02-09,44.33
2018-02-12,45.24
2018-02-13,45.3
2018-02-14,45.925
2018-02-15,46.55
2018-02-16,46.97
2018-02-19,46.78
2018-02-20,46.415
2018-02-21,47.225
2018-02-22,46.98
2018-02-23,47.07
2018-02-26,47.475
2018-02-27,46.98
2018-02-28,46.785
2018-03-01,47.04
2018-03-02,45.98
2018-03-05,46.34
2018-03-06,46.425
2018-03-07,46.295
2018-03-08,46.74
2018-03-09,47.23
2018-03-12,47.44
2018-03-13,46.94
2018-03-14,46.77
2018-03-15,46.82
2018-03-16,46.715
2018-03-19,45.75
2018-03-20,46.44
2018-03-21,46.225
2018-03-22,45.075
2018-03-23,44.33
2018-03-26,44.39
2018-03-27,45.03
2018-03-28,44.07
2018-03-29,44.89
2018-04-03,44.655
2018-04-04,44.25
2018-04-05,45.49
2018-04-06,44.37
2018-04-09,44.34
2018-04-10,44.525
2018-04-11,44.545
2018-04-12,44.575
2018-04-13,44.09
2018-04-16,43.63
2018-04-17,43.89
2018-04-18,44.45
2018-04-19,44.29
2018-04-20,44.2
2018-04-23,44.5
2018-04-24,44.46
2018-04-25,43.72
2018-04-26,44.115
2018-04-27,44.8
2018-04-30,45.1
2018-05-01,44.675
2018-05-02,45.0
2018-05-03,44.135
2018-05-04,44.85
2018-05-08,44.82
2018-05-09,44.785
2018-05-10,46.1
2018-05-11,45.905
2018-05-14,46.015
2018-05-15,45.22
2018-05-16,45.74
2018-05-17,45.285
2018-05-18,44.685
2018-05-21,45.125
2018-05-22,45.45
2018-05-23,45.115
2018-05-24,44.925
2018-05-25,45.43
2018-05-29,44.9
2018-05-30,44.76
2018-05-31,44.83
2018-06-01,45.2
2018-06-04,45.89
2018-06-05,45.475
2018-06-06,45.715
2018-06-07,45.415
2018-06-08,45.075
2018-06-11,45.32
2018-06-12,45.23
2018-06-13,45.275
2018-06-14,45.06
2018-06-15,44.385
2018-06-18,44.11
2018-06-19,44.035
2018-06-20,44.315
2018-06-21,43.23
2018-06-22,43.515
2018-06-25,42.66
2018-06-26,42.82
2018-06-27,42.655
2018-06-28,42.55
2018-06-29,43.275
2018-07-02,42.84
2018-07-03,43.24
2018-07-04,42.8
2018-07-05,42.78
2018-07-06,43.105
2018-07-09,43.8695
2018-07-10,43.68675
2018-07-11,43.235
2018-07-12,43.843
2018-07-13,43.905
2018-07-16,43.49975
2018-07-17,43.9285
2018-07-18,44.4
2018-07-19,44.076
2018-07-20,44.4365
2018-07-23,44.28
2018-07-24,44.89525
2018-07-25,45.08
2018-07-26,45.13025
2018-07-27,45.32
2018-07-30,45.06
2018-07-31,45.17
2018-08-01,45.06
2018-08-02,44.555
2018-08-03,45.14
2018-08-06,45.14
2018-08-07,45.69
2018-08-08,45.665
2018-08-09,45.765
2018-08-10,45.064
2018-08-13,44.46
2018-08-14,44.53
2018-08-15,43.307
2018-08-16,44.00975
2018-08-17,43.57625
2018-08-20,44.11175
2018-08-21,44.28675
2018-08-22,44.375
2018-08-23,44.329
2018-08-24,44.635
2018-08-28,45.159
2018-08-29,44.745
2018-08-30,43.739
2018-08-31,43.709
2018-09-03,44.0325
2018-09-04,43.54
2018-09-05,42.605
2018-09-06,42.4525
2018-09-07,42.67
2018-09-10,41.8875
2018-09-11,41.685
2018-09-12,42.21
2018-09-13,42.345
2018-09-14,42.66
2018-09-17,41.965
2018-09-18,42.28
2018-09-19,42.76
2018-09-20,42.6675
2018-09-21,43.71
2018-09-24,42.91
2018-09-25,42.9
2018-09-26,43.2
2018-09-27,42.925
2018-09-28,42.9825
2018-10-01,42.975
2018-10-02,42.6725
2018-10-03,42.665
2018-10-04,41.2875
2018-10-05,40.6
2018-10-08,40.73
2018-10-09,40.6
2018-10-10,39.65
2018-10-11,39.055
2018-10-12,40.105
2018-10-15,40.0
2018-10-16,40.5125
2018-10-17,40.4525
2018-10-18,39.8575
2018-10-19,40.12
2018-10-22,40.615
2018-10-23,39.775
2018-10-24,39.7225
2018-10-25,40.2725
2018-10-26,39.565
2018-10-29,39.64
2018-10-30,39.8725
2018-10-31,40.42
2018-11-01,40.955
2018-11-02,41.32
2018-11-05,41.28
2018-11-06,40.96
2018-11-07,41.36
2018-11-08,41.025
2018-11-09,40.2875
2018-11-12,40.155
2018-11-13,40.385
2018-11-14,40.355
2018-11-15,41.795
2018-11-16,41.7025
2018-11-19,41.51
2018-11-20,40.865
2018-11-21,41.7825
2018-11-22,41.01
2018-11-23,41.175
2018-11-26,41.4925
2018-11-27,41.74
2018-11-28,42.005
2018-11-29,42.56
2018-11-30,42.3
2018-12-03,43.36
2018-12-04,43.28
2018-12-05,42.6325
2018-12-06,41.185
2018-12-07,41.765
2018-12-10,41.085
2018-12-11,41.92
2018-12-12,42.4
2018-12-13,42.3
2018-12-14,42.24
2018-12-17,41.95
2018-12-18,41.5575
2018-12-19,41.76
2018-12-20,41.195
2018-12-21,41.215
2018-12-24,40.6
2018-12-27,40.7
2018-12-28,41.225
2018-12-31,41.3075
2019-01-02,41.58
2019-01-03,40.91
2019-01-04,41.715
2019-01-07,41.66
2019-01-08,41.855
2019-01-09,42.6275
2019-01-10,42.7125
2019-01-11,42.5
2019-01-14,41.9225
2019-01-15,42.67
2019-01-16,42.7825
2019-01-17,42.445
2019-01-18,43.1025
2019-01-21,42.8775
2019-01-22,42.3475
2019-01-23,42.0125
2019-01-24,42.5875
2019-01-25,42.665
2019-01-28,42.1475
